month,dim,code,label,maker,count
202508,model,4436,아우디 Q8 e-tron,아우디,0
202508,model,4759,아우디 e-tron GT,아우디,0
202508,model,4528,BMW i5,BMW,76
202508,model,4639,BMW i4,BMW,101
202508,model,4181,BMW i7,BMW,62
202508,model,4708,BMW iX,BMW,121
202508,model,4372,BMW iX1,BMW,43
202508,model,4582,BMW iX2,BMW,9
202508,model,4751,BMW iX3,BMW,0
202508,model,4569,벤츠 EQB,벤츠,71
202508,model,4430,벤츠 EQE SUV,벤츠,28
202508,model,4111,벤츠 EQE,벤츠,1
202508,model,4381,벤츠 EQS SUV,벤츠,24
202508,model,4568,벤츠 EQA,벤츠,70
202508,model,4638,벤츠 EQG(G-Class EV),벤츠,26
202508,model,4571,미니 일렉트릭,미니,109
202508,model,4572,미니 컨트리맨 일렉트릭,미니,55
202508,model,4640,미니 에이스맨,미니,30
202508,model,4613,포르쉐 마칸 일렉트릭,포르쉐,167
202508,model,4619,포르쉐 타이칸,포르쉐,160
202508,model,4005,폭스바겐 ID.4,폭스바겐,79
202508,model,4121,폭스바겐 ID.5,폭스바겐,91
202508,model,3687,테슬라 모델Y,테슬라,0
202508,model,4087,아이오닉6,현대,0
202508,model,4015,GV60,제네시스,0
202508,model,4046,BMW i4,BMW,0
202508,model,3983,BMW iX3,BMW,78
202508,model,4009,BMW iX,BMW,0
202508,model,4039,아우디 e-tron GT,아우디,4
202508,model,3667,아우디 e-tron,아우디,1
202508,model,4468,폴스타 2,폴스타,5
202508,model,4632,르노 세닉 E-Tech,르노,38
202508,model,4731,볼보 EX40,볼보,5
202508,model,4400,현대 카운티 일렉트릭,현대,15
202508,model,4048,벤츠 EQS,벤츠,1
202508,model,4634,벤츠 EQS,벤츠,2
202508,model,4511,벤츠 마이바흐 EQS SUV,벤츠,5
202508,model,4565,캐딜락 에스컬레이드 IQ,캐딜락,0
